time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
2500,2021-10-16 19:01:40,29.4072018294154,-82.1690821084707,0,0,58.927193814804,58.927193814804,0,0,0.165020346488,13,4,0,58.927193814804,0,0,0.165020346488,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2600,2021-10-16 19:01:40,29.4072017930148,-82.1690820918979,0,0,58.927193814804,58.927193814804,0,0,0.178227695992,13,4,0,58.927193814804,0,0,0.178227695992,0,0,0,91.9, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2700,2021-10-16 19:01:40,29.4072017654469,-82.1690820724575,0,0,58.927193814804,58.927193814804,0,0,0.189805780352,13,4,0,58.927193814804,0,0,0.189805780352,0,0,0,91.8, -1.7, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2800,2021-10-16 19:01:40,29.4072017445768,-82.1690820699338,0,0,58.927193814804,58.927193814804,0,0,0.19601870706,13,4,0,58.927193814804,0,0,0.19601870706,0,0,0,91.8, -1.7, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2900,2021-10-16 19:01:40,29.4072017351627,-82.1690820625223,0,0,58.927193814804,58.927193814804,0,0,0.200156174384,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.8, -1.7, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3000,2021-10-16 19:01:40,29.4072017349624,-82.1690820795042,0,0,58.927193814804,58.927193814804,0,0,0.196714901308,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.8, -1.7, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3100,2021-10-16 19:01:40,29.40720172832,-82.1690820873985,0,0,58.927193814804,58.927193814804,0,0,0.19700295906,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.9, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3200,2021-10-16 19:01:41,29.4072017288525,-82.1690821099747,0,0,58.927193814804,58.927193814804,0,0,0.192436357864,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1040,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3300,2021-10-16 19:01:41,29.4072017247358,-82.1690821203558,0,0,58.927193814804,58.927193814804,0,0,0.191674546816,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1047,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3400,2021-10-16 19:01:41,29.4072016866758,-82.1690821426404,0,0,58.927193814804,58.927193814804,0,0,0.199212276716,13,4,0,58.927193814804,0,0,0.200156174384,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1066,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
